"X1","X3","X4","X13","X14","X15","X16","X18","X31","X35","X36","X37","X40","X53","X54","X55","X56","X57","X58","X60","X61","X64","X66","X67","X68","X69","X70","X80","X81","X82","X83","X88","X89","X90","X92","X93","X96","X105","X116","X117","X123","X124","X126","X138","X141","X153","X163","X164","X173","X177","X178","X179","X180","X182","X183","X192","X195","X196","X197","X198","Species1"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Euphorbia aphylla"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Euphorbia atropurpurea"
0,0,0,24,19,23,34,24,0,0,1,10,0,0,0,25,0,0,0,0,0,0,0,35,0,3,17,5,0,0,0,0,0,0,0,0,8,0,1,0,17,0,10,16,11,5,7,0,0,18,18,0,12,0,0,11,1,2,0,9,"Euphorbia balsamifera"
0,0,0,0,5,0,1,0,3,0,0,1,0,0,0,1,0,0,0,0,1,6,0,0,0,6,3,2,0,0,1,1,0,0,18,0,0,0,5,0,0,0,3,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,"Euphorbia canariensis"
0,23,18,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Forsskaolea angustifolia"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gonospermum fruticosum"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Heliotropium ramosissimum"
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Herniaria canariensis"
12,0,79,0,0,0,60,1,29,0,0,0,1,0,265,1,50,0,1,1,1,0,47,1,1,65,1,1,0,72,40,1,0,6,6,35,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,151,18,17,"Hyparrhenia hirta"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hypericum canariense"
